pl_name,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff
Kepler-928 b,Transit,2016,3.932461302,1.59,3.15,894.0,4700.0
Kepler-929 b,Transit,2016,0.921032135,1.11,1.41,2362.0,5869.0
Kepler-93 b,Transit,2014,4.72673978,1.478,4.66,1133.0,5669.0
Kepler-930 b,Transit,2016,71.4517775,2.13,5.18,561.0,6335.0
Kepler-931 b,Transit,2016,8.03755877,1.33,2.33,744.0,5241.0
Kepler-932 b,Transit,2016,1.921437396,1.37,2.45,1276.0,5331.0
Kepler-933 b,Transit,2016,14.20443009,2.46,6.62,602.0,5346.0
Kepler-934 b,Transit,2016,55.6738309,2.09,5.02,384.0,5001.0
Kepler-935 b,Transit,2016,4.88083852,1.35,2.39,879.0,4830.0
Kepler-936 b,Transit,2016,10.56134221,1.45,2.7,867.0,5482.0
Kepler-937 b,Transit,2016,67.668827,3.72,13.4,495.0,6095.0
Kepler-937 c,Transit,2016,153.343364,2.67,7.61,377.0,6095.0
Kepler-938 b,Transit,2016,52.6298417,2.22,5.56,544.0,5533.0
Kepler-939 b,Transit,2016,14.878296,1.75,3.71,692.0,5471.0
Kepler-94 b,Transit,2014,2.50806,3.51,10.84,997.0,4781.0
Kepler-94 c,Radial Velocity,2014,820.3,12.5,3126.0,,4781.0
Kepler-940 b,Transit,2016,59.6225257,3.34,11.1,486.0,5769.0
Kepler-941 b,Transit,2016,17.42395198,3.08,9.69,722.0,5539.0
Kepler-942 b,Transit,2016,44.96417488,2.13,5.18,379.0,4861.0
Kepler-943 b,Transit,2016,49.7701438,5.93,29.5,455.0,5612.0
Kepler-944 b,Transit,2016,43.3167737,2.63,7.41,459.0,5409.0
Kepler-945 b,Transit,2016,31.0033814,2.63,7.41,616.0,5718.0
Kepler-946 b,Transit,2016,11.79162572,1.93,4.38,857.0,5665.0
Kepler-947 b,Transit,2016,26.9644317,2.28,5.82,573.0,5508.0
Kepler-948 b,Transit,2016,7.76846622,1.85,4.08,841.0,5679.0
Kepler-949 b,Transit,2016,8.689307296,2.91,8.8,782.0,5403.0
Kepler-949 c,Transit,2023,20.99757968,2.97,9.11,582.0,5211.0
Kepler-95 b,Transit,2014,11.5231,3.42,13.0,927.0,5699.0
Kepler-950 b,Transit,2016,98.7180406,8.98,59.6,360.0,5857.0
Kepler-951 b,Transit,2016,71.52530845,5.59,26.7,340.0,4834.0
Kepler-952 b,Transit,2016,130.3546919,7.65,45.4,369.0,5730.0
Kepler-953 b,Transit,2016,88.40655258,4.21,16.5,410.0,5416.0
Kepler-953 c,Transit,2016,9.10967112,1.19,1.81,873.0,5416.0
Kepler-954 b,Transit,2016,16.78176602,2.32,5.99,545.0,4990.0
Kepler-955 b,Transit,2016,14.53244172,3.13,9.96,664.0,5350.0
Kepler-956 b,Transit,2016,5.248672631,3.0,9.27,1056.0,6040.0
Kepler-957 b,Transit,2016,5.907413537,5.5,25.9,769.0,4963.0
Kepler-958 b,Transit,2016,9.7678805,2.06,4.9,749.0,5421.0
Kepler-959 b,Transit,2016,14.80074836,4.38,17.6,1912.0,7005.0
Kepler-96 b,Transit,2014,16.2385,2.67,8.46,711.0,5690.0
Kepler-960 b,Transit,2016,3.12686223,2.29,5.86,1391.0,4755.0
Kepler-961 b,Transit,2016,16.87727414,2.55,7.04,642.0,5582.0
Kepler-962 b,Transit,2016,12.05707239,1.97,4.54,689.0,5478.0
Kepler-963 b,Transit,2016,9.97683705,2.66,7.56,802.0,5461.0
Kepler-963 c,Transit,2024,0.919783,0.6,0.156,,5169.47
Kepler-964 b,Transit,2016,13.5225106,2.12,5.14,652.0,5427.0
Kepler-965 b,Transit,2016,134.2527298,3.38,11.4,393.0,5886.0
Kepler-966 b,Transit,2016,99.747622,4.13,16.0,391.0,5840.0
Kepler-967 b,Transit,2016,13.22713379,2.35,6.12,638.0,5178.0
Kepler-967 c,Transit,2016,198.7112502,3.65,12.9,258.0,5178.0
Kepler-968 b,Transit,2016,3.692983728,2.0,4.66,745.0,4598.0
Kepler-968 c,Transit,2016,5.709404918,1.69,3.5,644.0,4598.0
Kepler-969 b,Transit,2016,34.1731714,2.07,4.94,465.0,5214.0
Kepler-969 c,Transit,2016,1.682934604,0.99,0.937,1270.0,5214.0
Kepler-97 b,Transit,2014,2.58664,1.48,3.51,1328.0,5779.0
Kepler-970 b,Transit,2016,16.736525,2.609,7.31,464.0,4290.0
Kepler-971 b,Transit,2016,9.59070716,2.13,5.18,1087.0,5431.0
Kepler-972 b,Transit,2016,7.03932553,4.65,19.5,1060.0,6146.0
Kepler-973 b,Transit,2016,49.6077331,1.96,4.5,402.0,5213.0
Kepler-974 b,Transit,2016,4.194496514,1.57,3.09,577.0,3687.0
Kepler-975 b,Transit,2016,1.970342457,1.48,2.79,1599.0,4897.0
Kepler-975 c,Transit,2023,5.05821338,10.69,80.2,1168.0,4883.0
Kepler-976 b,Transit,2016,105.9564148,3.96,14.9,324.0,5232.0
Kepler-977 b,Transit,2016,26.85328322,2.62,7.37,544.0,5315.0
Kepler-978 b,Transit,2016,49.6221509,2.99,9.22,546.0,6002.0
Kepler-979 b,Transit,2016,8.0880135,2.72,7.85,792.0,5310.0
Kepler-98 b,Transit,2014,1.54168,1.99,3.55,1592.0,5539.0
Kepler-980 b,Transit,2016,11.55102504,2.67,7.61,845.0,5935.0
Kepler-981 b,Transit,2016,4.469757736,2.31,5.95,1103.0,5718.0
Kepler-982 b,Transit,2016,15.7738221,2.25,5.69,955.0,6139.0
Kepler-983 b,Transit,2016,60.0855082,2.36,6.17,485.0,6052.0
Kepler-984 b,Transit,2016,43.0342272,2.12,5.14,484.0,5610.0
Kepler-985 b,Transit,2016,116.331901,2.98,9.17,323.0,5434.0
Kepler-986 b,Transit,2016,56.4349938,2.36,6.17,465.0,5642.0
Kepler-987 b,Transit,2016,105.3033148,3.26,10.7,351.0,5637.0
Kepler-988 b,Transit,2016,17.76080053,2.07,4.94,368.0,4005.0
Kepler-989 b,Transit,2016,7.964315352,2.21,5.52,805.0,5074.0
Kepler-99 b,Transit,2014,4.60358,1.48,6.15,810.0,4782.0
Kepler-990 b,Transit,2016,9.91723428,2.6,7.27,903.0,5948.0
Kepler-990 c,Transit,2016,0.538354308,1.53,2.96,2386.0,5948.0
Kepler-991 b,Transit,2016,82.5342519,2.54,6.99,260.0,4392.0
Kepler-992 b,Transit,2016,20.16034462,1.62,3.26,510.0,4944.0
Kepler-993 b,Transit,2016,22.08557563,2.97,9.11,352.0,3843.0
Kepler-994 b,Transit,2016,1.151166506,1.6,3.19,957.0,3934.0
Kepler-995 b,Transit,2016,28.26731672,2.7,7.75,517.0,5206.0
Kepler-996 b,Transit,2016,3.770590584,1.98,4.58,1272.0,6014.0
Kepler-997 b,Transit,2016,2.707306716,1.36,2.42,1709.0,6150.0
Kepler-998 b,Transit,2016,5.65377733,2.32,5.99,1020.0,6058.0
Kepler-999 b,Transit,2016,5.991857017,2.34,6.08,1355.0,6237.0
L 168-9 b,Transit,2020,1.40152604,1.63,4.07,998.0,3842.0
L 363-38 b,Radial Velocity,2023,8.781,2.0,4.67,330.0,3129.0
L 98-59 b,Transit,2019,2.253114,0.837,0.46,620.0,3415.0
L 98-59 c,Transit,2019,3.6906764,1.329,2.0,526.0,3415.0
L 98-59 d,Transit,2019,7.450729,1.627,1.64,416.0,3415.0
L 98-59 e,Radial Velocity,2021,12.8278,1.49,2.82,347.0,3415.0
L 98-59 f,Radial Velocity,2025,23.064,1.48,2.8,285.0,3415.0
LHS 1140 b,Transit,2017,24.73723,1.73,5.6,226.0,3096.0
LHS 1140 c,Transit,2018,3.77794,1.272,1.91,422.0,3096.0
LHS 1478 b,Transit,2021,1.9495378,1.242,2.33,595.0,3381.0
LHS 1678 b,Transit,2021,0.8602325,0.685,0.35,830.44,3490.0
LHS 1678 c,Transit,2021,3.694284,0.941,1.4,510.9,3490.0
LHS 1678 d,Transit,2024,4.9652229,0.981,0.907,462.95,3490.0
LHS 1815 b,Transit,2020,3.814334,1.088,1.58,617.0,3643.0
LHS 3154 b,Radial Velocity,2023,3.71778,3.69,13.15,,2861.0
LHS 3844 b,Transit,2019,0.46292913,1.303,2.25,805.0,3036.0
LHS 475 b,Transit,2023,2.029088,0.991,0.941,586.0,3300.0
LP 714-47 b,Transit,2020,4.052037,4.7,30.8,700.0,3950.0
LP 791-18 b,Transit,2019,0.9479981,1.212,1.94,564.3,2960.0
LP 791-18 c,Transit,2019,4.9899093,2.438,7.1,324.4,2960.0
LP 791-18 d,Transit,2023,2.753436,1.032,0.9,395.5,2960.0
LP 890-9 b,Transit,2022,2.7299025,1.32,13.2,396.0,2850.0
LP 890-9 c,Transit,2022,8.457463,1.367,25.3,272.0,2850.0
LSPM J2116+0234 b,Radial Velocity,2019,14.4399,3.71,13.3,,3475.0
LTT 1445 A b,Transit,2019,5.3587635,1.34,2.73,431.0,3562.0
LTT 1445 A c,Transit,2022,3.1239035,1.147,1.54,508.0,3340.0
LTT 3780 b,Transit,2020,0.76837931,1.325,2.46,903.0,3358.0
LTT 3780 c,Transit,2020,12.252284,2.39,8.04,359.0,3358.0
LTT 9779 b,Transit,2020,0.792052,4.72,29.32,1978.0,5443.0
Luhman 16 b,Imaging,2017,9697.0,11.9,9344.1551658,,
Lupus-TR-3 b,Transit,2007,3.91405,9.976,257.431,,5000.0
MASCARA-1 b,Transit,2017,2.14877381,17.90074218,1175.971,2594.3,7490.0
MASCARA-4 b,Transit,2020,2.8240932,16.98160576,532.36258173,2250.0,7800.0
MOA-2009-BLG-266L b,Microlensing,2011,2800.0,3.21,10.4,,
MOA-2009-BLG-387L b,Microlensing,2010,1980.0,13.2,830.0,,
MOA-2011-BLG-293L b,Microlensing,2012,3000.0,12.9,1500.0,,
MXB 1658-298 b,Eclipse Timing Variations,2017,760.0,12.0,7532.571,,
NGC 2682 Sand 1429 b,Radial Velocity,2024,77.48,13.4,572.0911326,683.0,6000.0
NGC 2682 Sand 978 b,Radial Velocity,2017,511.21,13.3,692.8694,,4200.0
NGC 2682 YBP 1194 b,Radial Velocity,2014,6.959,12.3,101.7056,,5780.0
NGC 2682 YBP 1514 b,Radial Velocity,2014,5.118,14.0,127.132,,5725.0
NGC 2682 YBP 401 b,Radial Velocity,2016,4.087,14.3,146.2018,,6165.0
NGTS-1 b,Transit,2017,2.647298,14.90797,258.07796,790.0,3916.0
NGTS-10 b,Transit,2020,0.7668944,13.506845,687.14846,1332.0,4600.0
NGTS-11 b,Transit,2020,35.45533,9.157753,109.33352,435.0,5050.0
NGTS-12 b,Transit,2020,7.532806,11.747032,66.10864,1257.0,5690.0
NGTS-13 b,Transit,2021,4.119027,12.800678,1538.2972,1605.0,5819.0
NGTS-14 A b,Transit,2021,3.5357173,4.976796,29.24036,1143.0,5187.0
NGTS-15 b,Transit,2021,3.27623,12.32987877,238.68913366,1146.0,5600.0
NGTS-16 b,Transit,2021,4.84532,14.57167491,211.99154747,1177.0,5550.0
NGTS-17 b,Transit,2021,3.24253,13.89913607,242.82090295,1457.0,5650.0
NGTS-18 b,Transit,2021,3.05125,13.56286665,129.99181846,1381.0,5610.0
NGTS-2 b,Transit,2018,4.511164,17.878355,235.1942,1468.0,6478.0
NGTS-20 b,Transit,2022,54.18915,11.99360935,947.12865286,688.0,5980.0
NGTS-21 b,Transit,2022,1.5433897,14.90794433,750.07504052,1357.0,4660.0
NGTS-23 b,Transit,2022,4.0764326,14.20177855,194.82881349,1327.0,6057.0
NGTS-24 b,Transit,2022,3.4678796,13.60770257,165.27077164,1499.0,5820.0
NGTS-25 b,Transit,2022,2.823093,11.46678726,203.09235207,1101.0,5321.0
NGTS-26 b,Transit,2024,4.5199279,14.88552637,92.80589484,1331.0,5550.0
NGTS-27 b,Transit,2024,3.3704181,15.64773706,188.47224535,1783.0,5700.0
NGTS-3 A b,Transit,2018,1.6753728,16.58932,756.4354,1434.44,5600.0
NGTS-30 b,Transit,2024,98.29838,10.40193409,305.11527072,500.0,5455.0
NGTS-31 b,Transit,2025,4.162734,18.04645893,355.96781584,1410.0,5710.0
NGTS-32 b,Transit,2025,3.31211,15.91675259,181.16219199,1750.0,5680.0
NGTS-33 b,Transit,2024,2.827972,18.38272835,1153.71711741,1991.0,7437.0
NGTS-4 b,Transit,2019,1.3373508,3.18,20.6,1650.0,5143.0
NGTS-5 b,Transit,2019,3.3569866,12.733424,72.78307,952.0,4987.0
NGTS-6 b,Transit,2019,0.882059,14.863134,425.57437,1283.9,4730.0
NGTS-8 b,Transit,2019,2.4997,12.21781,295.5819,1345.0,5241.0
NGTS-9 b,Transit,2019,4.43527,11.99363,921.707,1448.0,6330.0
NSVS 14256825 b,Eclipse Timing Variations,2019,3225.0,12.3,4497.2945,,40000.0
NY Vir b,Eclipse Timing Variations,2011,3160.0,13.3,730.978,,32780.0
NY Vir c,Eclipse Timing Variations,2019,8799.0,12.8,1760.7782,,32780.0
OGLE-2005-BLG-390L b,Microlensing,2005,3285.0,2.21,5.5,50.0,
OGLE-2006-BLG-109L b,Microlensing,2008,1788.5,14.0,231.0,82.0,
OGLE-2006-BLG-109L c,Microlensing,2008,4927.5,11.1,86.0,59.0,
OGLE-2007-BLG-349L AB c,Microlensing,2016,2557.0,10.7,80.0,,
OGLE-2016-BLG-0007L b,Microlensing,2025,14200.0,1.09,1.32,,
OGLE-2016-BLG-1190L b,Microlensing,2017,1220.0,12.3,4253.0,,
OGLE-2018-BLG-0740L b,Microlensing,2019,5480.0,12.9,1500.0,,5912.0
OGLE-TR-10 b,Transit,2004,3.101278,14.011,197.046,1702.0,5950.0
OGLE-TR-111 b,Transit,2004,4.0144463,11.421971,174.799,1019.0,5040.0
OGLE-TR-113 b,Transit,2004,1.4324752,12.251,400.449,1342.0,4790.0
OGLE-TR-132 b,Transit,2004,1.689868,13.45,375.02,2013.0,6210.0
OGLE-TR-182 b,Transit,2007,3.9791,12.666,320.995,1550.0,5924.0
OGLE-TR-211 b,Transit,2007,3.67724,15.244,327.351,1686.0,6325.0
OGLE-TR-56 b,Transit,2002,1.2119189,15.278,441.77,2212.0,6050.0
OGLE2-TR-L9 b,Transit,2008,2.4855335,18.046,1430.175,2034.0,6933.0
Oph 11 b,Imaging,2006,7300000.0,12.3,4449.62,2175.0,2375.0
PDS 70 b,Imaging,2018,43500.0,30.48848,953.49,1204.0,3972.0
PH1 b,Transit,2012,138.317,6.18,169.0,481.0,6407.0
PH2 b,Transit,2013,282.52542,9.33708092,87.08498352,295.1,5734.0
POTS-1 b,Transit,2013,3.1606296,10.548,734.16,,4400.0
PSR B0329+54 b,Pulsar Timing,2017,10140.0,1.22,1.97,,
PSR B1257+12 b,Pulsar Timing,1994,25.262,0.338,0.02,,
PSR B1257+12 c,Pulsar Timing,1992,66.5419,1.91,4.3,,
PSR B1257+12 d,Pulsar Timing,1992,98.2114,1.8,3.9,,
PSR J2322-2650 b,Pulsar Timing,2017,0.322963997,13.9,252.643067,,
PZ Tel b,Imaging,2023,44000.0,11.9,8581.366989,,5169.0
Pr0201 b,Radial Velocity,2012,4.4264,14.2,171.6282,,6174.0
Pr0211 b,Radial Velocity,2012,2.1461,13.4,597.5204,,5300.0
Pr0211 c,Radial Velocity,2016,4850.0,12.6,2475.8957,,5300.0
Proxima Cen b,Radial Velocity,2016,11.18465,1.02,1.055,218.0,2900.0
Proxima Cen d,Radial Velocity,2025,5.12338,0.692,0.26,282.0,2900.0
Qatar-1 b,Transit,2010,1.4200242,12.811887,411.27202,1418.0,5013.0
Qatar-10 b,Transit,2019,1.645321,17.295487,233.92288,1955.0,6124.0
Qatar-2 b,Transit,2011,1.33711647,14.056,792.635,1344.0,
Qatar-3 b,Transit,2017,2.5079204,12.285064,1369.8473,1681.0,6007.0
Qatar-4 b,Transit,2017,1.8053564,12.722215,1938.763,1385.0,5215.0
Qatar-5 b,Transit,2017,2.8792319,12.408363,1373.0256,1415.0,5747.0
Qatar-6 b,Transit,2017,3.506195,11.903958,212.31044,1006.0,5052.0
Qatar-7 b,Transit,2019,2.032046,19.0553,597.5204,2053.0,6387.0
Qatar-8 b,Transit,2019,3.71495,14.403565,117.91493,1457.0,5738.0
Qatar-9 b,Transit,2019,1.540731,11.309881,378.2177,1134.0,4309.0
RR Cae b,Eclipse Timing Variations,2012,4343.5,13.0,1334.886,,3904.0
Ross 128 b,Radial Velocity,2017,9.8658,1.11,1.4,301.0,3192.0
Ross 176 b,Transit,2025,5.0066338,1.84,4.57,682.0,4041.0
Ross 508 b,Radial Velocity,2022,10.77,1.83,4.0,,3071.0
SPECULOOS-3 b,Transit,2024,0.71912603,0.977,0.894,553.0,2800.0
SWEEPS-11 b,Transit,2006,1.796,12.666,3082.82,,
SWEEPS-4 b,Transit,2006,4.2,9.079,1207.7,,
TAP 26 b,Radial Velocity,2017,10.79,13.5,527.5978,,4620.0
TIC 139270665 b,Transit,2024,23.624,7.22979255,147.15455244,703.0,5844.0
TIC 139270665 c,Radial Velocity,2024,1010.0,12.9,1554.18091023,200.0,5844.0
TIC 172900988 b,Transit,2021,200.452,11.25,942.0,,6050.0
TIC 237913194 b,Transit,2020,15.168865,12.520453,617.22586,974.0,5788.0
TIC 241249530 b,Transit,2024,165.7719,13.29385111,1582.78546686,,6166.0
TIC 257060897 b,Transit,2021,3.66003639,17.26183028,201.50321004,1775.0,5993.0
TIC 279401253 b,Transit,2023,76.8,11.2089807,1951.46641898,,5951.0
TIC 279401253 c,Transit,2023,155.3,12.6,2548.98382414,,5951.0
TIC 365102760 b,Transit,2024,4.21285367,6.21,19.2,,4900.0
TIC 393818343 b,Transit,2024,16.24921,12.18416202,1379.37528638,805.5,5756.0
TIC 434398831 b,Transit,2025,3.685504,3.51,12.1,1250.0,5638.0
TIC 434398831 c,Transit,2025,6.210291,5.63,27.0,1050.0,5638.0
TIC 46432937 b,Transit,2024,1.44044527,13.31626907,1017.0509024,872.0,3572.0
TIC 4672985 b,Transit,2024,69.048,11.5004142,4049.13390518,517.2,5757.0
TIC 88785435 b,Transit,2025,10.508843,5.03,22.3,635.0,3998.0
TOI-1011 b,Transit,2025,2.470498,1.45,4.04,1364.0,5475.0
TOI-1052 b,Transit,2023,9.139703,2.87,16.9,1135.0,6146.0
TOI-1052 c,Radial Velocity,2023,35.806,6.48,34.3,719.0,6146.0
TOI-1062 b,Transit,2021,4.11296,2.265,10.15,1077.0,5328.0
TOI-1062 c,Radial Velocity,2021,7.972,3.1,9.78,859.0,5328.0
TOI-1064 b,Transit,2022,6.443868,2.587,13.5,784.0,4734.0
TOI-1064 c,Transit,2022,12.226574,2.651,2.5,634.0,4734.0
TOI-1075 b,Transit,2022,0.6047328,1.791,9.95,1323.0,3875.0
TOI-1107 b,Transit,2022,4.0782387,14.57167491,1064.72516345,1728.0,6311.0
TOI-1117 b,Transit,2025,2.22816,2.46,8.9,1538.0,5635.0
TOI-1117 c,Radial Velocity,2025,4.579,2.91,8.78,1210.0,5635.0
TOI-1117 d,Radial Velocity,2025,8.665,3.27,10.71,978.0,5635.0
TOI-1130 b,Transit,2020,4.074554,3.66,19.8,825.0,4360.0
TOI-1130 c,Transit,2020,8.3501898,13.0,336.0,650.0,4360.0
TOI-1135 b,Transit,2024,8.0277283,9.34085,51.42,1074.28,5962.7
TOI-1136 b,Transit,2022,4.1727,1.9,3.5,1216.0,5770.0
TOI-1136 c,Transit,2022,6.2574,2.879,6.32,1062.0,5770.0
TOI-1136 d,Transit,2022,12.5199,4.627,8.35,843.0,5770.0
TOI-1136 e,Transit,2022,18.801,2.639,6.07,737.0,5770.0
TOI-1136 f,Transit,2022,26.321,3.73591482,9.7,658.0,5770.0
TOI-1136 g,Transit,2022,39.545,2.53,5.6,574.0,5770.0
TOI-1173 b,Transit,2024,7.06466,9.19,27.4,868.0,5350.0
TOI-1174 b,Transit,2024,8.953487683,2.562,32.0,713.83,5030.0
TOI-1180 b,Transit,2024,9.686760378,3.072,10.0,638.18,4738.0
